book_title,author_name,setting,nearest_setting_lon,nearest_setting_lat,residence,nearest_residence_lon,nearest_residence_lat,distance
Tender Is the Night,F. Scott Fitzgerald,Switzerland,8.227511999999999,46.818188,"Paris, France",2.3522219,48.856614,306.96
Rabbit at Rest,John Updike,Florida,-81.5157535,27.6648274,"Berks County, PA",-75.9927652,40.3451566,932
Light in August,William Faulkner,"Oxford, MS",-89.51863499999999,34.3668299,"Oxford, MS",-89.51863499999999,34.3668299,0
A Tree Grows in Brooklyn,Betty Smith,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
Dubliners,James Joyce,"Dublin, Ireland",-6.2603097,53.3498053,"Dublin, Ireland",-6.2603097,53.3498053,0
Pedro Paramo,Juan Rulfo,"Comala, Mexico",-103.7549847,19.3190634,"Guadalajara, Mexico",-103.3496092,20.6596988,96.4
A Prayer for Owen Meany,John Irving,"Exeter, NH",-70.9477546,42.9814292,"Exeter, NH",-70.9477546,42.9814292,0
A Prayer for Owen Meany,John Irving,"Toronto, Canada",-79.3831843,43.653226,"Toronto, Canada",-79.3831843,43.653226,0
A Prayer for Owen Meany,John Irving,"Durham, NH",-70.9264393,43.1339545,"Durham, NH",-70.9264393,43.1339545,0
Harry Potter And The Philosopher's Stone,J. K. Rowling,"London, England",-0.1277583,51.5073509,"London, England",-0.1277583,51.5073509,0
The Adventures of Augie March,Saul Bellow,"Chicago, IL",-87.6297982,41.8781136,"Chicago, IL",-87.6297982,41.8781136,0
The Brief Wondrous Life of Oscar Wao,Junot Diaz,"Santo Domingo, Dominican Republic",-69.93121169999999,18.4860575,"Santo Domingo, Dominican Republic",-69.93121169999999,18.4860575,0
The Brief Wondrous Life of Oscar Wao,Junot Diaz,"New Brunswick, NJ",-74.4518188,40.4862157,"New Brunswick, NJ",-74.4518188,40.4862157,0
The Prime of Miss Jean Brodie,Muriel Spark,"Edinburgh, Scotland",-3.188267,55.953252,"Edinburgh, Scotland",-3.188267,55.953252,0
Never Let Me Go,Kazuo Ishiguro,England,-1.1743197,52.3555177,"London, England",-0.1277583,51.5073509,73.72
Independent People,Halldor Laxness,Iceland,-19.020835,64.963051,"Reykjavik, Iceland",-21.9426354,64.146582,103.57
One Flew Over the Cuckoo's Nest,Ken Kesey,OR,-95.7083131,37.2242358,"La Junta, CO",-103.5438321,37.9850091,432.46
The Heart Is A Lonely Hunter,Carson McCullers,GA,-82.9000751,32.1656221,"Columbus, GA",-84.9877094,32.4609764,123.74
Austerlitz,W. G. Sebald,"Bala, Wales",-3.601584,52.909911,"Manchester, England",-2.2426305,53.4807593,68.78
Berlin Alexanderplatz,Alfred Doblin,"Berlin, Germany",13.404954,52.52000659999999,"Berlin, Germany",13.404954,52.52000659999999,0
The Amazing Adventures of Kavalier and Clay,Michael Chabon,"New York City, NY",-74.0059728,40.7127753,"Columbia, MD",-76.86104619999999,39.2037144,183.86
Middlesex,Jeffrey Eugenides,"Detroit, Michigan",-83.0457538,42.331427,"Detroit, Michigan",-83.0457538,42.331427,0
Middlesex,Jeffrey Eugenides,"Berlin, Germany",13.404954,52.52000659999999,"Berlin, Germany",13.404954,52.52000659999999,0
The Fountainhead,Ayn Rand,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
A House for Mr. Biswas,V. S. Naipaul,"Chaguanas, Trinidad and Tobago",-61.39685979999999,10.5331201,"Chaguanas, Trinidad and Tobago",-61.39685979999999,10.5331201,0
A House for Mr. Biswas,V. S. Naipaul,"Port of Spain, Trinidad and Tobago",-61.5142371,10.6495918,"Port of Spain, Trinidad and Tobago",-61.5142371,10.6495918,0
The Wind-Up Bird Chronicle,Haruki Murakami,"Tokyo, Japan",139.6503106,35.6761919,"Tokyo, Japan",139.6503106,35.6761919,0
Possession,A. S. Byatt,England,-1.1743197,52.3555177,"Oxford, England",-1.2577263,51.7520209,41.9
Love in the Time of Cholera,Gabriel Garcia Marquez,"Cartagena, Colombia",-75.4794257,10.3910485,"Barranquilla, Colombia",-74.80698129999999,11.0041072,62.35
The House of Mirth,Edith Wharton,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
Atlas Shrugged,Ayn Rand,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
The House of the Spirits,Isabel Allende,Chile,-71.542969,-35.675147,"Santiago, Chile",-70.6692655,-33.4488897,161.83
